Generation N Sum GN.F GN.M PN2.F PN2.M Program Trait value Population h2 rep
39 6000 7.99502982650728 4.08862492491144 3.90640490159585 0 0 PN2 T2 Tbv GN2 0.25 0
40 6000 8.29421036747974 4.23311446528341 4.06109590219632 0 0 PN2 T2 Tbv GN2 0.25 0
20 4500 0.00958964211955243 0 0 -0.00497751715135386 0.0145671592709063 PN2 T2 Ebv PN2 0.25 0
22 9000 -1.68571287265427 0.123112373786849 -1.84824082627842 0.00108235762422738 0.0383332222130683 PN2 T2 Ebv PN2 0.25 0
23 9000 -1.11169882691538 0.28402886250315 -1.55705842743966 0.0208155053645909 0.140515232656537 PN2 T2 Ebv PN2 0.25 0
24 9000 -0.902991232501782 0.574387189560311 -1.6392839029672 0.0363223662169647 0.125583114688146 PN2 T2 Ebv PN2 0.25 0
25 9000 -0.73782979125782 1.14629038191319 -2.00467055973325 0.0347631463333572 0.0857872402288799 PN2 T2 Ebv PN2 0.25 0
26 9000 -0.660126079513932 1.69553922058779 -2.4485683148947 0.0209314585938915 0.0719715561990875 PN2 T2 Ebv PN2 0.25 0
27 9000 -0.389255728321907 2.34747338549924 -2.80389934966659 0.0163035921494449 0.0508666436960021 PN2 T2 Ebv PN2 0.25 0
28 9000 -0.00483186061999509 3.12753812890985 -3.17862127552276 0.012845465450139 0.0334058205427711 PN2 T2 Ebv PN2 0.25 0
29 9000 0.296236530838544 3.81705738044728 -3.54919218607236 0.00933735770094644 0.0190339787626766 PN2 T2 Ebv PN2 0.25 0
30 9000 0.537983024501051 4.46223748991282 -3.94567801503718 0.0078176501525799 0.0136058994728339 PN2 T2 Ebv PN2 0.25 0
31 9000 0.879688650613467 5.16059118901472 -4.2963404514086 0.00754982746436081 0.00788808554298849 PN2 T2 Ebv PN2 0.25 0
32 9000 1.1890398178461 5.61338985363777 -4.43770861790775 0.00725426003617637 0.0061043220798938 PN2 T2 Ebv PN2 0.25 0
33 9000 1.78670341754494 6.14547059353218 -4.37046259089594 0.00709248898635343 0.00460292592235168 PN2 T2 Ebv PN2 0.25 0
34 9000 2.25829645535305 6.68785644705538 -4.43860808822063 0.00513322569420041 0.00391487082410388 PN2 T2 Ebv PN2 0.25 0
35 9000 2.7262695927169 7.26781141146046 -4.54732984111508 0.00328206228340368 0.00250596008810922 PN2 T2 Ebv PN2 0.25 0
36 9000 2.96607599360339 7.86094742576457 -4.89572689740818 6.32624655987666e-05 0.000792202781399146 PN2 T2 Ebv PN2 0.25 0
37 9000 3.37908149996512 8.52881010697313 -5.14693713686415 -0.00261350939583612 -0.000177960748027877 PN2 T2 Ebv PN2 0.25 0
38 9000 3.93002652142268 9.0631630972551 -5.12990587654345 -0.002628149831861 -0.000602549457111943 PN2 T2 Ebv PN2 0.25 0
39 9000 4.52064887949643 9.50945795278315 -4.98462806131012 -0.00310101734912897 -0.00107999462747496 PN2 T2 Ebv PN2 0.25 0
